30  40  ! nelx, nely
 1.0000000000000000e+00   1.0000000000000000e-02   5.8823529411764709e-06   5.8823529411764709e-08  ! rhol, rhog, mul, mug
 5.8823529411764709e-06   5.8823529411764709e-08  ! sigmal, sigmag
 1.4906755084711533e-04   2.8719723183391007e-03   8.4033613445378154e-05   0.0000000000000000e+00   5.0000000000000000e+00  ! f, g, st, Bx, Bz
 1.1299999999999999e+00  ! alpha
 2.3417088139119426e-04  -1.7518485662065217e-01  ! gamma
-8.0405266042211543e-01  -5.9455808737928906e-01  ! a
-1.3659345760384115e-02   0.0000000000000000e+00  ! U1 = A*(cosh(k1*y)-1) + B*sinh(k1*y) + 1
-1.3659345760384115e-02   0.0000000000000000e+00  ! U2 = A*(cosh(k2*y)-1) + B*sinh(k2*y) + 1
 5.5415356595307490e-02   4.0963115811477532e-02   5.6973518583377869e-01  -7.7087643305523834e-01
 5.5415356595307490e-02   4.0963115811477532e-02   5.6973518583377869e-01  -7.7087643305523834e-01
 5.6941368675570467e-02   4.2091184021402252e-02   5.6986338788605206e-01  -7.7104986614705395e-01
 6.0254646831737993e-02   4.4540529428403683e-02   5.7015536703904357e-01  -7.7144485763986637e-01
 6.4735286612885107e-02   4.7852749038872593e-02   5.7058060127331078e-01  -7.7202011614919086e-01
 6.9577507173934641e-02   5.1432256670163115e-02   5.7108081649329367e-01  -7.7269680726957024e-01
 7.3939062035321648e-02   5.4656473533573426e-02   5.7156908444030519e-01  -7.7335733476033619e-01
 7.7092859991505336e-02   5.6987845118770850e-02   5.7194536538421148e-01  -7.7386636598196468e-01
 7.8525370426372171e-02   5.8046808925280913e-02   5.7212293220114319e-01  -7.7410657736210187e-01
 7.8525370426372171e-02   5.8046808925280913e-02   5.7212293220114319e-01  -7.7410657736210187e-01
 8.0403669471058786e-02   5.9435280606194074e-02   5.7236221939940235e-01  -7.7443028358202792e-01
 8.4455721185914281e-02   6.2430664505947871e-02   5.7290419941546689e-01  -7.7516347039106459e-01
 8.9873401538678982e-02   6.6435516433211203e-02   5.7368684665469183e-01  -7.7622222931550611e-01
 9.5638065212384729e-02   7.0696837177668712e-02   5.7459856130308262e-01  -7.7745558907929779e-01
 1.0073911784789906e-01   7.4467571839085145e-02   5.7548019991387278e-01  -7.7864826230890971e-01
 1.0436681034319713e-01   7.7149168894725992e-02   5.7615449716371203e-01  -7.7956044621679899e-01
 1.0599614776557595e-01   7.8353572014363826e-02   5.7647122533620476e-01  -7.7998891375290180e-01
 1.0599614776557595e-01   7.8353572014363826e-02   5.7647122533620476e-01  -7.7998891375290180e-01
 1.0811391318741811e-01   7.9919024778871306e-02   5.7689660019252242e-01  -7.8056435786992928e-01
 1.1260482107990852e-01   8.3238652153298412e-02   5.7785412836436001e-01  -7.8185969630473817e-01
 1.1842157423247228e-01   8.7538269100783939e-02   5.7922289632414392e-01  -7.8371136050820267e-01
 1.2433066947678911e-01   9.1906039600226419e-02   5.8079738704556572e-01  -7.8584133127962474e-01
 1.2926672032168990e-01   9.5554461101591256e-02   5.8229991958360350e-01  -7.8787396381835229e-01
